chapter,chapter_title
48,"CHAPTER 48 - PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD"
49,"CHAPTER 49 - PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS"
50,CHAPTER 50 - SILK
51,"CHAPTER 51 - WOOL, FINE OR COARSE ANIMAL HAIR; HORSEHAIR YARN AND WOVEN FABRIC"
52,CHAPTER 52 - COTTON
53,CHAPTER 53 - OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN
54,CHAPTER 54 - MAN-MADE FILAMENTS; STRIP AND THE LIKE OF MAN-MADE TEXTILE MATERIALS
55,CHAPTER 55 - MAN-MADE STAPLE FIBRES
56,"CHAPTER 56 - WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF"
57,CHAPTER 57 - CARPETS AND OTHER TEXTILE FLOOR COVERINGS
58,CHAPTER 58 - SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY
59,"CHAPTER 59 - IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE"
60,CHAPTER 60 - KNITTED OR CROCHETED FABRICS
61,"CHAPTER 61 - ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED"
62,"CHAPTER 62 - ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED"
63,CHAPTER 63 - OTHER MADE-UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS
64,"CHAPTER 64 - FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES"
65,CHAPTER 65 - HEADGEAR AND PARTS THEREOF
66,"CHAPTER 66 - UMBRELLAS, SUN UMBRELLAS, WALKING STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF"
67,CHAPTER 67 - PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR
68,"CHAPTER 68 - ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS"
69,CHAPTER 69 - CERAMIC PRODUCTS
70,CHAPTER 70 - GLASS AND GLASSWARE
71,"CHAPTER 71 - NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN"
72,CHAPTER 72 - IRON AND STEEL
73,CHAPTER 73 - ARTICLES OF IRON OR STEEL
74,CHAPTER 74 - COPPER AND ARTICLES THEREOF
75,CHAPTER 75 - NICKEL AND ARTICLES THEREOF
76,CHAPTER 76 - ALUMINIUM AND ARTICLES THEREOF
77,
78,CHAPTER 78 - LEAD AND ARTICLES THEREOF
79,CHAPTER 79 - ZINC AND ARTICLES THEREOF
80,CHAPTER 80 - TIN AND ARTICLES THEREOF
81,CHAPTER 81 - OTHER BASE METALS; CERMETS; ARTICLES THEREOF
82,"CHAPTER 82 - TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL"
83,CHAPTER 83 - MISCELLANEOUS ARTICLES OF BASE METAL
84,"CHAPTER 84 - NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF"
85,"CHAPTER 85 - ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES"
86,"CHAPTER 86 - RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL (INCLUDING ELECTROMECHANICAL) TRAFFIC SIGNALLING EQUIPMENT OF ALL KINDS"
87,"CHAPTER 87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF"
88,"CHAPTER 88 - AIRCRAFT, SPACECRAFT, AND PARTS THEREOF"
89,"CHAPTER 89 - SHIPS, BOATS AND FLOATING STRUCTURES"
90,"CHAPTER 90 - OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF"
91,CHAPTER 91 - CLOCKS AND WATCHES AND PARTS THEREOF
92,CHAPTER 92 - MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES
93,CHAPTER 93 - ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF
94,"CHAPTER 94 - FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHINGS; LAMPS AND LIGHTING FITTINGS, NOT ELSEWHERE SPECIFIED OR INCLUDED; ILLUMINATED SIGNS, ILLUMINATED NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS"
95,"CHAPTER 95 - TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF"
96,CHAPTER 96 - MISCELLANEOUS MANUFACTURED ARTICLES
97,"CHAPTER 97 - WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES"
98,CHAPTER 98 - SPECIAL CLASSIFICATION PROVISIONS - NON-COMMERCIAL
99,CHAPTER 99 - SPECIAL CLASSIFICATION PROVISIONS - COMMERCIAL
